Plant,PlantType,FuelType,Capacity,fuel_cost,oper_cost,startup_cost
Coal_Bowen,COAL,BIT,2622.37428,36.1,7.38449513,147.0
Coal_Scherer,COAL,SUB,2860.11,18.39,7.38087979,147.0
Coal_JackMcDonough,COAL,BIT,430.683,36.1,7.38449513,147.0
Other_Coal_Plant,OTHER COAL,BIT,4396.83212,36.1,7.38449513,147.0
Nuclear_Vogtle,NUCLEAR,NUC,2088.696,7.23,16.31015976,0.0
Nuclear_EdwinIHatch,NUCLEAR,NUC,1626.41228,7.23,16.31015976,0.0
Oil_Plant,OIL,BLQ,75.83748,14.88,5.29506293,72.0
Gas_Plant,GAS,NG,1761.30524,34.87,5.28716388,72.0
Hydro_Plant,HYDRO,WAT,268.05618,0.0,8.176099031,0.0
Biomass_Plant,BIOMASS,BLQ,470.95972,14.88,5.29506293,72.0
