Plant,PlantType,FuelType,fuel_cost,oper_cost,startup_cost,Capacity
Scherer,COAL,SUB,18.39,7.38087979,147.0,2860.11
Bowen,COAL,BIT,36.1,7.38449513,147.0,2622.37428
Jack McDonough,COAL,BIT,36.1,7.38449513,147.0,430.683
Edwin I Hatch,NUCLEAR,NUC,7.23,16.31015976,0.0,1626.41228
Vogtle,NUCLEAR,NUC,7.23,16.31015976,0.0,2088.696
Oil_Plant,OIL,BLQ,14.88,5.29506293,72.0,75.83748
Biomass_Plant,BIOMASS,BLQ,14.88,5.29506293,72.0,470.95972
Gas_Plant,GAS,NG,34.87,5.28716388,72.0,1761.30524
Hydro_Plant,HYDRO,WAT,0.0,8.176099031,0.0,268.05618
Other_Coal_Plant,OTHER COAL,BIT,36.1,7.38449513,147.0,4396.83212
